"Date","Value","Macrobond_Code"
2025-04-01,45.3,"markit_3y_pmicamanpm"
2025-05-01,46.1,"markit_3y_pmicamanpm"
2025-06-01,45.6,"markit_3y_pmicamanpm"
2025-07-01,46.1,"markit_3y_pmicamanpm"
2025-08-01,48.3,"markit_3y_pmicamanpm"
2025-09-01,47.7,"markit_3y_pmicamanpm"
2025-10-01,49.6,"markit_3y_pmicamanpm"
2022-12-01,46.2,"markit_3y_pmiusmanmepm"
2023-01-01,46.9,"markit_3y_pmiusmanmepm"
2023-02-01,47.3,"markit_3y_pmiusmanmepm"
2023-03-01,49.2,"markit_3y_pmiusmanmepm"
2023-04-01,50.2,"markit_3y_pmiusmanmepm"
2023-05-01,48.4,"markit_3y_pmiusmanmepm"
2023-06-01,46.3,"markit_3y_pmiusmanmepm"
2023-07-01,49,"markit_3y_pmiusmanmepm"
2023-08-01,47.9,"markit_3y_pmiusmanmepm"
2023-09-01,49.8,"markit_3y_pmiusmanmepm"
2023-10-01,50,"markit_3y_pmiusmanmepm"
2023-11-01,49.4,"markit_3y_pmiusmanmepm"
2023-12-01,47.9,"markit_3y_pmiusmanmepm"
2024-01-01,50.7,"markit_3y_pmiusmanmepm"
2024-02-01,52.2,"markit_3y_pmiusmanmepm"
2024-03-01,51.9,"markit_3y_pmiusmanmepm"
2024-04-01,50,"markit_3y_pmiusmanmepm"
2024-05-01,51.3,"markit_3y_pmiusmanmepm"
2024-06-01,51.6,"markit_3y_pmiusmanmepm"
2024-07-01,49.6,"markit_3y_pmiusmanmepm"
2024-08-01,47.9,"markit_3y_pmiusmanmepm"
2024-09-01,47.3,"markit_3y_pmiusmanmepm"
2024-10-01,48.5,"markit_3y_pmiusmanmepm"
2024-11-01,49.7,"markit_3y_pmiusmanmepm"
2024-12-01,49.4,"markit_3y_pmiusmanmepm"
2025-01-01,51.2,"markit_3y_pmiusmanmepm"
2025-02-01,52.7,"markit_3y_pmiusmanmepm"
2025-03-01,50.2,"markit_3y_pmiusmanmepm"
2025-04-01,50.2,"markit_3y_pmiusmanmepm"
2025-05-01,52,"markit_3y_pmiusmanmepm"
2025-06-01,52.9,"markit_3y_pmiusmanmepm"
2025-07-01,49.8,"markit_3y_pmiusmanmepm"
2025-08-01,53,"markit_3y_pmiusmanmepm"
2025-09-01,52,"markit_3y_pmiusmanmepm"
2025-10-01,52.5,"markit_3y_pmiusmanmepm"
2025-11-01,51.9,"markit_3y_pmiusmanmepm"
2022-12-01,48.9,"markit_3y_pmijpmanpm"
2023-01-01,48.9,"markit_3y_pmijpmanpm"
2023-02-01,47.7,"markit_3y_pmijpmanpm"
2023-03-01,49.2,"markit_3y_pmijpmanpm"
2023-04-01,49.5,"markit_3y_pmijpmanpm"
2023-05-01,50.6,"markit_3y_pmijpmanpm"
2023-06-01,49.8,"markit_3y_pmijpmanpm"
2023-07-01,49.6,"markit_3y_pmijpmanpm"
2023-08-01,49.6,"markit_3y_pmijpmanpm"
2023-09-01,48.5,"markit_3y_pmijpmanpm"
2023-10-01,48.7,"markit_3y_pmijpmanpm"
2023-11-01,48.3,"markit_3y_pmijpmanpm"
2023-12-01,47.9,"markit_3y_pmijpmanpm"
2024-01-01,48,"markit_3y_pmijpmanpm"
2024-02-01,47.2,"markit_3y_pmijpmanpm"
2024-03-01,48.2,"markit_3y_pmijpmanpm"
2024-04-01,49.6,"markit_3y_pmijpmanpm"
2024-05-01,50.4,"markit_3y_pmijpmanpm"
2024-06-01,50,"markit_3y_pmijpmanpm"
2024-07-01,49.1,"markit_3y_pmijpmanpm"
2024-08-01,49.8,"markit_3y_pmijpmanpm"
2024-09-01,49.7,"markit_3y_pmijpmanpm"
2024-10-01,49.2,"markit_3y_pmijpmanpm"
2024-11-01,49,"markit_3y_pmijpmanpm"
2024-12-01,49.6,"markit_3y_pmijpmanpm"
2025-01-01,48.7,"markit_3y_pmijpmanpm"
2025-02-01,49,"markit_3y_pmijpmanpm"
2025-03-01,48.4,"markit_3y_pmijpmanpm"
2025-04-01,48.7,"markit_3y_pmijpmanpm"
2025-05-01,49.4,"markit_3y_pmijpmanpm"
2025-06-01,50.1,"markit_3y_pmijpmanpm"
2025-07-01,48.9,"markit_3y_pmijpmanpm"
2025-08-01,49.7,"markit_3y_pmijpmanpm"
2025-09-01,48.5,"markit_3y_pmijpmanpm"
